"Treatment","Rep","Day","GPP","AS","Nuts","Lake.ID","DOC","DOC2","GPPpre","meso"
"B",2,42,83.1356483203123,1,1,5,22.8170347614286,520.617075304241,268.208377728572,"B2"
"B",2,43,1.12773758092277e-05,1,1,5,23.4566024207143,550.21219712346,83.1356483203123,"B2"
"B",2,44,49.5421857644016,1,1,5,24.09617008,580.625412524287,1.12773758092277e-05,"B2"
"B",2,45,9.35183534729029e-06,1,1,5,24.2914410114286,590.074106411715,49.5421857644016,"B2"
"B",2,46,71.5286686150174,1,1,5,24.4867119428571,599.59906177246,9.35183534729029e-06,"B2"
"B",2,47,126.9128606346,1,1,5,24.6819828742857,609.200278606533,71.5286686150174,"B2"
"B",2,48,287.309071856923,1,1,5,24.8772538057143,618.877756913927,126.9128606346,"B2"
"B",2,49,154.464240800533,1,1,5,25.0725247371429,628.631496694643,287.309071856923,"B2"
"B",2,50,7.92201032186886e-05,1,1,5,25.2677956685714,638.461497948676,154.464240800533,"B2"
"B",2,51,125.26756837143,1,1,5,25.4630666,648.367760676036,7.92201032186886e-05,"B2"
"B",2,52,147.878650056544,1,1,5,25.8943884978571,670.519355677954,125.26756837143,"B2"
"B",2,53,42.7818150506955,1,1,5,26.3257103957143,693.04302783902,147.878650056544,"B2"
"B",2,54,93.3326358992179,1,1,5,26.7570322935714,715.938777159223,42.7818150506955,"B2"
"B",2,55,103.768017008107,1,1,5,27.1883541914286,739.206603638573,93.3326358992179,"B2"
"B",2,56,130.764003362604,1,1,5,27.6196760892857,762.84650727706,103.768017008107,"B2"
"B",2,57,39.3906492648506,1,1,5,28.0509979871429,786.858488074695,130.764003362604,"B2"
"B",2,58,213.442570617572,1,1,5,28.482319885,811.242546031466,39.3906492648506,"B2"
"B",2,59,65.6558263424348,1,1,5,30.2372314316667,914.290164652173,213.442570617572,"B2"
"B",2,60,4.23679156200253e-05,1,1,5,31.9921429783333,1023.49721234612,65.6558263424348,"B2"
"B",2,61,3.95652824317266e-05,1,1,5,33.747054525,1138.86368911332,4.23679156200253e-05,"B2"
"B",2,62,2.32693137828173e-05,1,1,5,35.5019660716667,1260.38959495377,3.95652824317266e-05,"B2"
"B",2,63,7.99517431218135e-07,1,1,5,37.2568776183333,1388.07492986746,2.32693137828173e-05,"B2"
"B",2,64,2.98285780751702e-06,1,1,5,39.011789165,1521.91969385441,7.99517431218135e-07,"B2"
"B",3,2,17.8935640360851,1,1,10,8.44810210981602,71.3704292578779,100.778430945029,"B3"
"B",3,3,86.5469306720179,1,1,10,8.33932769906535,69.5443864723986,17.8935640360851,"B3"
"B",3,4,64.6458655859717,1,1,10,8.23055328831467,67.7420074317874,86.5469306720179,"B3"
"B",3,5,124.121844398723,1,1,10,8.12177887756399,65.9632921360446,64.6458655859717,"B3"
"B",3,6,104.609879958298,1,1,10,8.01300446681331,64.2082405851701,124.121844398723,"B3"
"B",3,7,11.7342448794592,1,1,10,7.90423005606264,62.476852779164,104.609879958298,"B3"
"B",3,8,103.906014662323,1,1,10,7.79545564531196,60.7691287180261,11.7342448794592,"B3"
"B",3,9,6.52574118838787,1,1,10,7.68668123456128,59.0850684017565,103.906014662323,"B3"
"B",3,10,105.49455712308,1,1,10,8.01596868164609,64.2557539051309,6.52574118838787,"B3"
"B",3,11,170.948004936269,1,1,10,8.3452561287309,69.6432998541207,105.49455712308,"B3"
"B",3,12,236.659030424848,1,1,10,8.67454357581571,75.2477062487256,170.948004936269,"B3"
"B",3,13,189.511281515019,1,1,10,9.00383102290052,81.0689730889458,236.659030424848,"B3"
"B",3,14,189.162166051204,1,1,10,9.33311846998533,87.1071003747813,189.511281515019,"B3"
"B",3,15,289.580453899076,1,1,10,9.66240591707014,93.3620881062321,189.162166051204,"B3"
"B",3,16,231.72019795896,1,1,10,9.99169336415495,99.8339362832981,289.580453899076,"B3"
"B",3,17,87.1306099151203,1,1,10,10.3553864308286,107.234028131789,231.72019795896,"B3"
"B",3,18,257.083607345839,1,1,10,10.7190794975023,114.898665273774,87.1306099151203,"B3"
"B",3,19,210.480314525297,1,1,10,11.082772564176,122.827847709252,257.083607345839,"B3"
"B",3,20,228.545957405383,1,1,10,11.4464656308497,131.021575438223,210.480314525297,"B3"
"B",3,21,265.981149426701,1,1,10,11.8101586975234,139.479848460688,228.545957405383,"B3"
"B",3,22,286.715417225959,1,1,10,12.1738517641971,148.202666776645,265.981149426701,"B3"
"B",3,23,255.164757908439,1,1,10,12.5375448308708,157.190030386095,286.715417225959,"B3"
"B",3,24,327.378320632251,1,1,10,13.0999110793178,171.607670286033,255.164757908439,"B3"
"B",3,25,390.756549863865,1,1,10,13.6622773277648,186.657821780756,327.378320632251,"B3"
"B",3,26,342.606895940261,1,1,10,14.2246435762119,202.340484870266,390.756549863865,"B3"
"B",3,27,314.190425036229,1,1,10,14.7870098246589,218.655659554559,342.606895940261,"B3"
"B",3,28,578.947496518217,1,1,10,15.3493760731059,235.603345833636,314.190425036229,"B3"
"B",3,29,0.00646214305120371,1,1,10,15.911742321553,253.183543707501,578.947496518217,"B3"
"B",3,30,57.0595297583473,1,1,10,16.47410857,271.396253176147,0.00646214305120371,"B3"
"B",3,31,342.154754486042,1,1,10,17.347826475,300.947083406711,57.0595297583473,"B3"
"B",3,32,307.094961211905,1,1,10,18.22154438,332.02467959231,342.154754486042,"B3"
"B",3,33,345.05284051419,1,1,10,19.095262285,364.629041732943,307.094961211905,"B3"
"B",3,34,484.034914561335,1,1,10,19.96898019,398.760169828612,345.05284051419,"B3"
"B",3,35,609.996913015901,1,1,10,20.842698095,434.418063879317,484.034914561335,"B3"
"B",3,36,383.305950687844,1,1,10,21.716416,471.602723885056,609.996913015901,"B3"
"B",3,37,603.072949327892,1,1,10,22.590133905,510.31414984583,383.305950687844,"B3"
"B",3,38,515.180865441917,1,1,10,22.6533808142857,513.175662317047,603.072949327892,"B3"
"B",3,39,656.163605245853,1,1,10,22.7166277235714,516.045175131333,515.180865441917,"B3"
"B",3,40,557.86569564147,1,1,10,22.7798746328571,518.922688288686,656.163605245853,"B3"
"B",3,41,480.658665633737,1,1,10,22.8431215421429,521.808201789113,557.86569564147,"B3"
"B",3,42,483.924229444905,1,1,10,22.9063684514286,524.701715632604,480.658665633737,"B3"
"B",3,43,278.680810562529,1,1,10,22.9696153607143,527.603229819162,483.924229444905,"B3"
"B",3,44,91.1869227032597,1,1,10,23.03286227,530.51274434879,278.680810562529,"B3"
"B",3,45,223.389921823779,1,1,10,23.1592658892857,536.351596530632,91.1869227032597,"B3"
"B",3,46,441.730343143189,1,1,10,23.2856695085714,542.222404462412,223.389921823779,"B3"
"B",3,47,497.118437112084,1,1,10,23.4120731278571,548.125168144128,441.730343143189,"B3"
"B",3,48,544.738553818815,1,1,10,23.5384767471429,554.059887575787,497.118437112084,"B3"
"B",3,49,468.785528384432,1,1,10,23.6648803664286,560.026562757378,544.738553818815,"B3"
"B",3,50,156.400042762327,1,1,10,23.7912839857143,566.025193688906,468.785528384432,"B3"
"B",3,51,533.70621769437,1,1,10,23.917687605,572.055780370371,156.400042762327,"B3"
"B",3,52,623.320043289405,1,1,10,24.7519639678571,612.659720266096,533.70621769437,"B3"
"B",3,53,355.086620738331,1,1,10,25.5862403307143,654.655694261071,623.320043289405,"B3"
"B",3,54,486.617887466406,1,1,10,26.4205166935714,698.043702355285,355.086620738331,"B3"
"B",3,55,539.323356924557,1,1,10,27.2547930564286,742.823744548749,486.617887466406,"B3"
"B",3,56,508.937181535101,1,1,10,28.0890694192857,788.995820841451,539.323356924557,"B3"
"B",3,57,533.480516749035,1,1,10,28.9233457821429,836.559931233403,508.937181535101,"B3"
"B",3,58,523.322764853869,1,1,10,29.757622145,885.516075724594,533.480516749035,"B3"
"B",3,59,519.208460994938,1,1,10,31.9545744366667,1021.09482742847,523.322764853869,"B3"
"B",3,60,2.74531494143698e-05,1,1,10,34.1515267283333,1166.32677787606,519.208460994938,"B3"
"B",3,61,18.9717373326137,1,1,10,36.34847902,1321.21192706738,2.74531494143698e-05,"B3"
"B",3,62,132.757370344958,1,1,10,38.5454313116667,1485.75027500242,18.9717373326137,"B3"
"B",3,63,75.2232410991575,1,1,10,40.7423836033333,1659.94182168116,132.757370344958,"B3"
"B",3,64,95.7124611326334,1,1,10,42.939335895,1843.78656710364,75.2232410991575,"B3"
"C",1,2,0.000112622776943398,0,0,4,7.09155346905774,50.2901306045049,172.272425560986,"C1"
"C",1,3,56.7342090739898,0,0,4,7.31306165031508,53.4808707013091,0.000112622776943398,"C1"
"C",1,4,96.4454515133411,0,0,4,7.53456983157242,56.7697425468413,56.7342090739898,"C1"
"C",1,5,140.625898239548,0,0,4,7.75607801282975,60.1567461411011,96.4454515133411,"C1"
"C",1,6,90.7654585224624,0,0,4,7.97758619408708,63.6418814840888,140.625898239548,"C1"
"C",1,7,87.3492988864504,0,0,4,8.19909437534442,67.2251485758045,90.7654585224624,"C1"
"C",1,8,89.1499727221459,0,0,4,8.42060255660176,70.9065474162481,87.3492988864504,"C1"
"C",1,9,9.66656273008097e-07,0,0,4,8.64211073785909,74.6860780054194,89.1499727221459,"C1"
"C",1,10,80.4245258651923,0,0,4,8.83265364060926,78.015770334968,9.66656273008097e-07,"C1"
"C",1,11,86.5408730715103,0,0,4,9.02319654335943,81.4180758600936,80.4245258651923,"C1"
"C",1,12,4.75982778875614e-07,0,0,4,9.2137394461096,84.892994580796,86.5408730715103,"C1"
"C",1,13,1.59049371784195e-06,0,0,4,9.40428234885977,88.4405264970754,4.75982778875614e-07,"C1"
"C",1,14,43.5937870950863,0,0,4,9.59482525160994,92.0606716089318,1.59049371784195e-06,"C1"
"C",1,15,107.368044435611,0,0,4,9.78536815436011,95.753429916365,43.5937870950863,"C1"
"C",1,16,193.580603847645,0,0,4,9.97591105711028,99.5188014193751,107.368044435611,"C1"
"C",1,17,61.5816342757337,0,0,4,10.2031271331399,104.103803295016,193.580603847645,"C1"
"C",1,18,146.208291282865,0,0,4,10.4303432091695,108.792059461068,61.5816342757337,"C1"
"C",1,19,151.725222705339,0,0,4,10.6575592851991,113.583569917534,146.208291282865,"C1"
"C",1,20,81.4179999996669,0,0,4,10.8847753612287,118.478334664411,151.725222705339,"C1"
"C",1,21,6.49642357303841e-07,0,0,4,11.1119914372583,123.476353701702,81.4179999996669,"C1"
"C",1,22,143.241680802114,0,0,4,11.3392075132879,128.577627029405,6.49642357303841e-07,"C1"
"C",1,23,102.818257757539,0,0,4,11.5664235893175,133.78215464752,143.241680802114,"C1"
"C",1,24,179.897740478467,0,0,4,12.059697044415,145.436292803072,102.818257757539,"C1"
"C",1,25,126.008070554785,0,0,4,12.5529704995125,157.577068361631,179.897740478467,"C1"
"C",1,26,244.610303652703,0,0,4,13.04624395461,170.204481323198,126.008070554785,"C1"
"C",1,27,149.097132920533,0,0,4,13.5395174097075,183.318531687772,244.610303652703,"C1"
"C",1,28,124.766737377431,0,0,4,14.032790864805,196.919219455355,149.097132920533,"C1"
"C",1,29,161.922032615254,0,0,4,14.5260643199025,211.006544625945,124.766737377431,"C1"
"C",1,30,161.945412930871,0,0,4,15.019337775,225.580507199542,161.922032615254,"C1"
"C",1,31,163.406078085645,0,0,4,15.522101615,240.935638546386,161.945412930871,"C1"
"C",1,32,106.357163294882,0,0,4,16.024865455,256.796312850852,163.406078085645,"C1"
"C",1,33,112.935068619207,0,0,4,16.527629295,273.162530112942,106.357163294882,"C1"
"C",1,34,108.178703962277,0,0,4,17.030393135,290.034290332655,112.935068619207,"C1"
"C",1,35,151.323777563369,0,0,4,17.533156975,307.411593509991,108.178703962277,"C1"
"C",1,36,160.249872057106,0,0,4,18.035920815,325.29443964495,151.323777563369,"C1"
"C",1,37,278.280217868475,0,0,4,18.538684655,343.682828737532,160.249872057106,"C1"
"C",1,38,122.463979807888,0,0,4,19.3865141757143,375.836931885172,278.280217868475,"C1"
"C",1,39,261.021601844947,0,0,4,20.2343436964286,409.4286648252,122.463979807888,"C1"
"C",1,40,174.67541026482,0,0,4,21.0821732171429,444.458027557617,261.021601844947,"C1"
"C",1,41,175.649552325584,0,0,4,21.9300027378571,480.92502008242,174.67541026482,"C1"
"C",1,42,172.319678090025,0,0,4,22.7778322585714,518.829642399616,175.649552325584,"C1"
"C",1,43,139.772765857608,0,0,4,23.6256617792857,558.171894509201,172.319678090025,"C1"
"C",1,44,162.028198082514,0,0,4,24.4734913,598.951776411176,139.772765857608,"C1"
"C",1,45,114.626347912848,0,0,4,25.1793893614286,634.001648614424,162.028198082514,"C1"
"C",1,46,20.7172601798563,0,0,4,25.8852874228571,670.048104963924,114.626347912848,"C1"
"C",1,47,187.568827125362,0,0,4,26.5911854842857,707.091145459686,20.7172601798563,"C1"
"C",1,48,293.860296260546,0,0,4,27.2970835457143,745.130770101706,187.568827125362,"C1"
"C",1,49,270.127704272621,0,0,4,28.0029816071429,784.166978889984,293.860296260546,"C1"
"C",1,50,255.725678033323,0,0,4,28.7088796685714,824.199771824512,270.127704272621,"C1"
"C",1,51,354.994547466544,0,0,4,29.41477773,865.229148905304,255.725678033323,"C1"
"C",1,52,217.6789566288,0,0,4,29.6202775635714,877.360842943011,354.994547466544,"C1"
"C",1,53,223.364515821578,0,0,4,29.8257773971429,889.57699734392,217.6789566288,"C1"
"C",1,54,260.188847352713,0,0,4,30.0312772307143,901.877612108019,223.364515821578,"C1"
"C",1,55,248.670143994191,0,0,4,30.2367770642857,914.262687235314,260.188847352713,"C1"
"C",1,56,380.513416201556,0,0,4,30.4422768978571,926.732222725804,248.670143994191,"C1"
"C",1,57,256.07467475373,0,0,4,30.6477767314286,939.286218579496,380.513416201556,"C1"
"C",1,58,341.488116769151,0,0,4,30.853276565,951.924674796378,256.07467475373,"C1"
"C",1,59,272.665357183879,0,0,4,32.4321595483333,1051.84497296855,341.488116769151,"C1"
"C",1,60,227.946982365705,0,0,4,34.0110425316667,1156.75101409084,272.665357183879,"C1"
"C",1,61,102.405325434086,0,0,4,35.589925515,1266.64279816325,227.946982365705,"C1"
"C",1,62,192.576118394049,0,0,4,37.1688084983333,1381.52032518577,102.405325434086,"C1"
"C",1,63,297.780618821906,0,0,4,38.7476914816667,1501.38359515843,192.576118394049,"C1"
"C",1,64,167.17951441538,0,0,4,40.326574465,1626.23260808119,297.780618821906,"C1"
"C",2,2,1.26547778841556e-05,0,0,8,9.58770647417141,91.9241154348684,208.750048349906,"C2"
"C",2,3,152.010658946874,0,0,8,9.27779249664192,86.0774336107451,1.26547778841556e-05,"C2"
"C",2,4,115.472845256404,0,0,8,8.96787851911243,80.4228451335582,152.010658946874,"C2"
"C",2,5,147.067628737958,0,0,8,8.65796454158294,74.9603500033075,115.472845256404,"C2"
"C",2,6,113.790130319639,0,0,8,8.34805056405345,69.6899482199931,147.067628737958,"C2"
"C",2,7,2.88814697677478e-05,0,0,8,8.03813658652396,64.6116397836151,113.790130319639,"C2"
"C",2,8,88.6252211235368,0,0,8,7.72822260899447,59.7254246941733,2.88814697677478e-05,"C2"
"C",2,9,2.53913494693307e-05,0,0,8,7.41830863146498,55.0313029516678,88.6252211235368,"C2"
"C",2,10,50.1864361692069,0,0,8,7.80457759882769,60.911431496123,2.53913494693307e-05,"C2"
"C",2,11,113.280522966288,0,0,8,8.1908465661904,67.0899674708731,50.1864361692069,"C2"
"C",2,12,86.7411917844111,0,0,8,8.57711553355311,73.5669108759181,113.280522966288,"C2"
"C",2,13,134.175062008735,0,0,8,8.96338450091582,80.3422617112579,86.7411917844111,"C2"
"C",2,14,106.776830524113,0,0,8,9.34965346827854,87.4160199768929,134.175062008735,"C2"
"C",2,15,168.696277050698,0,0,8,9.73592243564125,94.7881856728226,106.776830524113,"C2"
"C",2,16,153.063271815317,0,0,8,10.122191403004,102.458758799048,168.696277050698,"C2"
"C",2,17,63.8994969560932,0,0,8,10.5632537957689,111.582330753826,153.063271815317,"C2"
"C",2,18,226.438987787923,0,0,8,11.0043161885339,121.094974777229,63.8994969560932,"C2"
"C",2,19,156.244083787814,0,0,8,11.4453785812988,130.996690869253,226.438987787923,"C2"
"C",2,20,46.1939986410634,0,0,8,11.8864409740638,141.287479029903,156.244083787814,"C2"
"C",2,21,118.47813542926,0,0,8,12.3275033668288,151.967339259175,46.1939986410634,"C2"
"C",2,22,166.232259591344,0,0,8,12.7685657595937,163.036271557069,118.47813542926,"C2"
"C",2,23,44.5474895382671,0,0,8,13.2096281523587,174.494275923588,166.232259591344,"C2"
"C",2,24,158.528398085666,0,0,8,13.2368779998789,175.214939183678,44.5474895382671,"C2"
"C",2,25,5.03690963119238,0,0,8,13.2641278473991,175.937087552148,158.528398085666,"C2"
"C",2,26,167.843843602894,0,0,8,13.2913776949193,176.660721028998,5.03690963119238,"C2"
"C",2,27,154.673475402834,0,0,8,13.3186275424394,177.385839614225,167.843843602894,"C2"
"C",2,28,149.885359616522,0,0,8,13.3458773899596,178.112443307835,154.673475402834,"C2"
"C",2,29,172.115027924032,0,0,8,13.3731272374798,178.840532109824,149.885359616522,"C2"
"C",2,30,90.3615215142491,0,0,8,13.400377085,179.570106020193,172.115027924032,"C2"
"C",2,31,283.235543233434,0,0,8,14.1818851771429,201.125867177666,90.3615215142491,"C2"
"C",2,32,250.543723861131,0,0,8,14.9633932692857,223.903138131305,283.235543233434,"C2"
"C",2,33,225.190194823997,0,0,8,15.7449013614286,247.901918881116,250.543723861131,"C2"
"C",2,34,224.4699023097,0,0,8,16.5264094535714,273.122209427094,225.190194823997,"C2"
"C",2,35,314.86512109398,0,0,8,17.3079175457143,299.564009769245,224.4699023097,"C2"
"C",2,36,194.980421555454,0,0,8,18.0894256378571,327.227319907562,314.86512109398,"C2"
"C",2,37,464.900808070914,0,0,8,18.87093373,356.112139842052,194.980421555454,"C2"
"C",2,38,271.625541015236,0,0,8,19.7939844571429,391.801820689615,464.900808070914,"C2"
"C",2,39,349.651704188902,0,0,8,20.7170351842857,429.195546826932,271.625541015236,"C2"
"C",2,40,390.817940927149,0,0,8,21.6400859114286,468.293318254011,349.651704188902,"C2"
"C",2,41,360.660481756311,0,0,8,22.5631366385714,509.095134970843,390.817940927149,"C2"
"C",2,42,293.131345777652,0,0,8,23.4861873657143,551.600996977438,360.660481756311,"C2"
"C",2,43,224.41791977886,0,0,8,24.4092380928571,595.810904273786,293.131345777652,"C2"
"C",2,44,210.602793251614,0,0,8,25.33228882,641.724856859897,224.41791977886,"C2"
"C",2,45,265.008512673499,0,0,8,25.3816262792857,644.226952581326,210.602793251614,"C2"
"C",2,46,279.359773588243,0,0,8,25.4309637385714,646.733916672533,265.008512673499,"C2"
"C",2,47,363.874708858841,0,0,8,25.4803011978571,649.245749133518,279.359773588243,"C2"
"C",2,48,381.539156588376,0,0,8,25.5296386571429,651.762449964285,363.874708858841,"C2"
